date,sku_id,true_demand,point_forecast,interval_lower,interval_upper,alpha_t,reliability_score,risk_tier,escalation,safety_stock_aci,safety_stock_qr,is_volatile,calibration_health,covered
2015-08-10,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1,60.0,Low,Manual Review,5.31,0.0,0,At-Target,1
2015-08-11,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1001,60.0,Low,Manual Review,5.31,0.0,0,At-Target,1
2015-08-12,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1002,60.0,Low,Manual Review,5.31,0.0,0,At-Target,1
2015-08-13,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1003,60.0,Low,Manual Review,5.31,0.0,0,At-Target,1
2015-08-14,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1004,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-15,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1005,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-16,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1006,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-17,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1007,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-18,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1008,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-19,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1009,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-20,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.101,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-21,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1011,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-22,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1012,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-23,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1013,85.0,Low,Standard Reorder,5.31,0.0,0,At-Target,1
2015-08-24,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1014,85.0,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-08-25,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1015,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-08-26,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1016,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-08-27,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1017,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-08-28,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1018,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-08-29,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1019,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-08-30,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.102,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-08-31,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1021,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-09-01,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1022,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-09-02,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1023,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-09-03,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1024,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-09-04,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1025,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-09-05,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1026,84.9,Low,Standard Reorder,5.32,0.0,0,At-Target,1
2015-09-06,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1027,69.9,Low,Manual Review,5.32,0.0,1,At-Target,1
2015-09-07,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1028,69.9,High,Escalate to Procurement,5.32,1.78,1,At-Target,1
2015-09-08,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1029,69.9,High,Escalate to Procurement,5.32,1.78,1,At-Target,1
2015-09-09,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.103,69.9,High,Escalate to Procurement,5.32,1.38,1,At-Target,1
2015-09-10,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1031,69.9,High,Escalate to Procurement,5.32,1.38,1,At-Target,1
2015-09-11,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1032,69.9,High,Escalate to Procurement,5.32,1.43,1,At-Target,1
2015-09-12,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1033,69.9,High,Escalate to Procurement,5.33,2.06,1,At-Target,1
2015-09-13,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1034,69.9,High,Escalate to Procurement,5.33,1.65,1,At-Target,1
2015-09-14,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1035,69.9,High,Escalate to Procurement,5.33,1.44,1,At-Target,1
2015-09-15,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1036,69.9,High,Escalate to Procurement,5.33,1.03,1,At-Target,1
2015-09-16,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1037,69.9,High,Escalate to Procurement,5.33,1.36,1,At-Target,1
2015-09-17,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1038,69.9,High,Escalate to Procurement,5.33,1.36,1,At-Target,1
2015-09-18,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.1039,69.9,High,Escalate to Procurement,5.33,1.08,1,At-Target,1
2015-09-19,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.104,69.9,High,Escalate to Procurement,5.33,1.75,1,At-Target,1
2015-09-20,FOODS_1_049_TX_2_evaluation,3.0,0.0,-2.0,2.0,0.1041,68.1,High,Escalate to Procurement,5.33,1.77,1,At-Target,0
2015-09-21,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1032,68.1,High,Escalate to Procurement,5.32,2.71,1,At-Target,1
2015-09-22,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1033,68.1,High,Escalate to Procurement,5.33,2.69,1,At-Target,1
2015-09-23,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1034,68.1,High,Escalate to Procurement,5.33,2.69,1,At-Target,1
2015-09-24,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1035,68.1,High,Escalate to Procurement,5.33,2.69,1,At-Target,1
2015-09-25,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1036,68.1,High,Escalate to Procurement,5.33,2.66,1,At-Target,1
2015-09-26,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1037,68.1,High,Escalate to Procurement,5.33,2.78,1,At-Target,1
2015-09-27,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1038,68.1,High,Escalate to Procurement,5.33,2.76,1,At-Target,1
2015-09-28,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1039,68.1,High,Escalate to Procurement,5.33,2.33,1,At-Target,1
2015-09-29,FOODS_1_049_TX_2_evaluation,1.0,0.0,-2.0,2.0,0.104,68.1,High,Escalate to Procurement,5.33,2.33,1,At-Target,1
2015-09-30,FOODS_1_049_TX_2_evaluation,0.0,0.0,-2.0,2.0,0.1041,68.1,High,Escalate to Procurement,5.33,2.53,1,At-Target,1
